City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bodden Town,KY,2021-03-24 22:39:10,19.2833,-81.25,84.2,70,40,12.66
68,Maputo,MZ,2021-03-24 22:39:11,-25.9653,32.5892,75.0,73,20,3.44
69,Sakakah,SA,2021-03-24 22:39:11,29.9697,40.2064,64.4,17,0,12.66
70,Boyolangu,ID,2021-03-24 22:39:11,-8.1181,111.8935,74.79,91,82,1.28
71,Tiksi,RU,2021-03-24 22:34:15,71.6872,128.8694,-24.99,97,66,4.32
72,Nuuk,GL,2021-03-24 22:38:02,64.1835,-51.7216,6.8,85,75,6.91
73,Norman Wells,CA,2021-03-24 22:39:11,65.282,-126.8329,10.4,56,75,9.22
74,Bredasdorp,ZA,2021-03-24 22:39:12,-34.5322,20.0403,66.2,88,99,10.36
75,Ranong,TH,2021-03-24 22:39:12,9.9658,98.6348,76.32,82,56,4.59
76,Lagoa,PT,2021-03-24 22:39:12,39.05,-27.9833,56.44,63,21,2.15
77,Carnarvon,AU,2021-03-24 22:39:12,-24.8667,113.6333,73.4,78,40,19.57
78,New Norfolk,AU,2021-03-24 22:37:52,-42.7826,147.0587,63.0,77,100,3.0
79,Hilo,US,2021-03-24 22:39:13,19.7297,-155.09,84.2,51,40,19.57
80,Urucara,BR,2021-03-24 22:39:13,-2.5364,-57.76,74.37,98,57,2.42
81,Provideniya,RU,2021-03-24 22:39:13,64.3833,-173.3,15.8,79,0,15.66
82,Saint-Augustin,CA,2021-03-24 22:39:13,51.226,-58.6502,29.17,97,100,3.2
83,Standerton,ZA,2021-03-24 22:39:14,-26.9337,29.2415,55.99,98,95,1.99
84,Avarua,CK,2021-03-24 22:38:35,-21.2078,-159.775,86.0,79,75,18.41
85,Labuan,MY,2021-03-24 22:39:14,5.2767,115.2417,80.6,89,20,2.3
86,Padang,ID,2021-03-24 22:39:14,-0.9492,100.3543,75.2,100,75,3.44
87,Narsaq,GL,2021-03-24 22:39:15,60.9167,-46.05,19.4,53,75,10.36
88,Portland,US,2021-03-24 22:38:23,45.5234,-122.6762,48.2,76,75,17.27
89,Deputatskiy,RU,2021-03-24 22:39:15,69.3,139.9,-15.99,98,100,1.99
90,Lebu,CL,2021-03-24 22:39:15,-37.6167,-73.65,54.95,65,1,17.98
91,Rincon,US,2021-03-24 22:34:51,32.296,-81.2354,75.0,56,90,12.66
92,Kachiry,KZ,2021-03-24 22:39:16,53.0675,76.1036,17.98,92,96,9.53
93,Katherine,AU,2021-03-24 22:39:16,-14.4667,132.2667,77.0,94,75,0.58
94,Kiruna,SE,2021-03-24 22:39:16,67.8557,20.2251,32.0,74,20,28.77
95,Yellowknife,CA,2021-03-24 22:37:03,62.456,-114.3525,10.0,52,1,10.36
96,Tuktoyaktuk,CA,2021-03-24 22:39:16,69.4541,-133.0374,1.4,71,75,11.5
97,Vila Velha,BR,2021-03-24 22:36:20,-20.3297,-40.2925,80.6,78,0,4.61
98,Kapaa,US,2021-03-24 22:37:22,22.0752,-159.319,80.01,83,90,16.11
99,Kruisfontein,ZA,2021-03-24 22:37:27,-34.0033,24.7314,70.0,80,100,4.0
100,Homer,US,2021-03-24 22:36:14,59.6425,-151.5483,37.99,70,75,10.36
101,Zyryanka,RU,2021-03-24 22:39:17,65.75,150.85,-2.97,90,100,10.2
102,Vaini,TO,2021-03-24 22:39:17,-21.2,-175.2,78.8,94,90,11.5
103,Geraldton,AU,2021-03-24 22:39:17,-28.7667,114.6,55.4,82,0,4.61
104,Nong Kung Si,TH,2021-03-24 22:39:18,16.65,103.3,78.01,83,96,4.61
105,Ponta Delgada,PT,2021-03-24 22:39:18,37.7333,-25.6667,55.4,76,20,10.36
106,Prudentopolis,BR,2021-03-24 22:39:18,-25.2131,-50.9778,71.31,71,96,2.3
107,Santa Rosa,PH,2021-03-24 22:39:19,14.3122,121.1114,81.0,73,20,2.3
108,Castro,BR,2021-03-24 22:39:19,-24.7911,-50.0119,65.25,93,91,4.63
109,Butaritari,KI,2021-03-24 22:39:19,3.0707,172.7902,81.46,80,68,17.4
110,Santa Isabel Do Rio Negro,BR,2021-03-24 22:39:19,-0.4139,-65.0192,74.7,91,52,3.33
111,Chuy,UY,2021-03-24 22:39:20,-33.6971,-53.4616,66.92,81,10,7.74
112,Calama,CL,2021-03-24 22:34:58,-22.4667,-68.9333,71.6,17,0,23.02
113,Guelph,CA,2021-03-24 22:39:20,43.5501,-80.2497,66.2,55,40,12.66
114,Barrow,US,2021-03-24 22:39:20,71.2906,-156.7887,-5.8,71,1,9.22
115,Fort Nelson,CA,2021-03-24 22:35:10,58.8053,-122.7002,19.4,58,75,3.44
116,Ilulissat,GL,2021-03-24 22:37:59,69.2167,-51.1,-4.0,77,75,14.97
117,Sur,OM,2021-03-24 22:39:20,22.5667,59.5289,76.15,59,0,8.21
118,Chittaurgarh,IN,2021-03-24 22:39:21,24.8833,74.6333,67.77,23,1,6.62
119,Severo-Kurilsk,RU,2021-03-24 22:39:21,50.6789,156.125,26.65,61,78,13.96
120,Srimushnam,IN,2021-03-24 22:39:21,11.4,79.4167,75.43,87,31,3.94
121,Torbay,CA,2021-03-24 22:37:28,47.6666,-52.7314,37.0,69,75,9.22
122,Belyy Yar,RU,2021-03-24 22:39:21,53.6039,91.3903,30.2,51,0,15.66
123,Bulungu,CD,2021-03-24 22:39:22,-4.55,18.6,68.83,98,100,2.33
124,Bethel,US,2021-03-24 22:39:22,41.3712,-73.414,53.01,86,100,3.0
125,Makakilo City,US,2021-03-24 22:34:40,21.3469,-158.0858,80.6,88,90,12.66
126,Bengkulu,ID,2021-03-24 22:35:32,-3.8004,102.2655,76.14,82,100,3.49
127,South Lake Tahoe,US,2021-03-24 22:39:17,38.9332,-119.9844,55.99,29,1,10.36
128,Chebenki,RU,2021-03-24 22:39:22,51.9337,55.7077,24.8,80,0,8.95
129,Ambilobe,MG,2021-03-24 22:39:23,-13.2,49.05,75.58,92,92,1.19
130,Sept-Iles,CA,2021-03-24 22:35:02,50.2001,-66.3821,39.2,41,75,21.85
131,Chifeng,CN,2021-03-24 22:39:23,42.2683,118.9636,45.16,39,20,10.76
132,Puerto Ayora,EC,2021-03-24 22:39:23,-0.7393,-90.3518,82.4,78,40,10.36
133,Te Anau,NZ,2021-03-24 22:39:23,-45.4167,167.7167,60.26,66,55,1.57
134,Dehloran,IR,2021-03-24 22:39:24,32.6941,47.2679,73.18,39,100,8.08
135,Vanimo,PG,2021-03-24 22:39:24,-2.6741,141.3028,81.91,73,100,2.91
136,Prince Rupert,CA,2021-03-24 22:39:24,54.3161,-130.3201,42.8,81,90,12.66
137,Inta,RU,2021-03-24 22:39:24,66.0317,60.1659,25.63,94,91,15.52
138,Cherskiy,RU,2021-03-24 22:38:18,68.75,161.3,-0.02,91,100,4.47
139,Douentza,ML,2021-03-24 22:39:25,14.9951,-2.9517,83.07,9,80,9.91
140,Zhob,PK,2021-03-24 22:39:25,31.3411,69.4481,58.32,44,66,5.75
141,Zile,TR,2021-03-24 22:39:25,40.3031,35.8864,30.2,69,75,14.97
142,Shubarkuduk,KZ,2021-03-24 22:39:25,49.1447,56.4872,31.59,85,100,19.71
143,Metro,ID,2021-03-24 22:34:51,-5.1131,105.3067,73.35,95,100,2.95
144,Malanville,BJ,2021-03-24 22:39:26,11.8685,3.3899,87.12,10,93,6.85
145,Manmad,IN,2021-03-24 22:39:26,20.25,74.45,77.47,19,0,7.49
146,Kindu,CD,2021-03-24 22:39:26,-2.95,25.95,69.82,97,93,2.39
147,Salalah,OM,2021-03-24 22:35:22,17.0151,54.0924,78.8,83,20,3.44
148,Fortuna,US,2021-03-24 22:39:26,40.5982,-124.1573,54.0,71,90,13.8
149,Oistins,BB,2021-03-24 22:39:27,13.0667,-59.5333,78.8,61,40,16.11
150,Omboue,GA,2021-03-24 22:39:27,-1.5746,9.2618,76.89,84,98,7.18
151,Sumy,UA,2021-03-24 22:35:24,50.9216,34.8003,28.36,78,99,11.61
152,Saint George,US,2021-03-24 22:37:31,37.1041,-113.5841,60.8,17,1,3.44
153,Abbeville,FR,2021-03-24 22:39:27,50.1,1.8333,44.6,93,100,2.3
154,Salinopolis,BR,2021-03-24 22:39:28,-0.6136,-47.3561,77.11,89,100,7.81
155,Savonlinna,FI,2021-03-24 22:39:28,61.8699,28.88,35.6,93,90,10.36
156,Chokurdakh,RU,2021-03-24 22:39:28,70.6333,147.9167,-16.67,97,99,5.88
157,Coari,BR,2021-03-24 22:39:28,-4.085,-63.1414,72.84,96,86,2.39
158,Najran,SA,2021-03-24 22:39:29,17.4924,44.1277,69.8,19,0,6.38
159,Luganville,VU,2021-03-24 22:39:29,-15.5333,167.1667,82.15,78,99,7.4
160,Victoria,HK,2021-03-24 22:35:07,22.2855,114.1577,70.0,83,0,1.01
161,Lorengau,PG,2021-03-24 22:39:29,-2.0226,147.2712,81.45,78,100,6.31
162,Lujan,AR,2021-03-24 22:39:29,-34.5703,-59.105,73.99,91,34,1.99
163,Kalengwa,ZM,2021-03-24 22:39:30,-13.4659,25.0027,61.12,97,1,4.23
164,Tuy Hoa,VN,2021-03-24 22:39:30,13.0833,109.3,73.26,92,100,4.07
165,Ancud,CL,2021-03-24 22:39:30,-41.8697,-73.8203,53.6,62,0,8.05
166,Eureka,US,2021-03-24 22:35:22,40.8021,-124.1637,55.0,77,100,8.01
167,Thongwa,MM,2021-03-24 22:39:30,16.7619,96.5278,77.0,88,95,2.3
168,Georgetown,MY,2021-03-24 22:39:03,5.4112,100.3354,78.8,94,20,3.44
169,Maromitsa,RU,2021-03-24 22:39:31,59.8683,48.0123,33.06,92,100,11.56
170,Caranavi,BO,2021-03-24 22:39:31,-15.8167,-67.55,65.34,97,57,2.28
171,Santa Maria Da Boa Vista,BR,2021-03-24 22:39:31,-8.8078,-39.8256,82.65,47,62,18.45
172,Xining,CN,2021-03-24 22:39:32,36.6167,101.7667,38.91,36,100,1.88
173,Dongsheng,CN,2021-03-24 22:39:32,39.8161,109.9776,41.47,43,88,8.97
174,Baran,IN,2021-03-24 22:39:32,25.1,76.5167,72.55,24,0,7.31
175,Envira,BR,2021-03-24 22:39:32,-7.3,-70.2167,73.54,96,61,2.57
176,Warrnambool,AU,2021-03-24 22:39:33,-38.3833,142.4833,61.0,82,70,8.01
177,Letterkenny,IE,2021-03-24 22:39:33,54.95,-7.7333,41.05,89,95,6.02
178,Phalaborwa,ZA,2021-03-24 22:39:33,-23.943,31.1411,68.0,88,14,8.05
179,Miraflores,MX,2021-03-24 22:39:33,19.2167,-98.8083,82.4,11,1,13.8
180,Bilibino,RU,2021-03-24 22:39:34,68.0546,166.4372,1.26,89,100,2.06
181,Ekhabi,RU,2021-03-24 22:39:34,53.5102,142.9671,11.03,71,20,12.17
182,Korla,CN,2021-03-24 22:39:34,41.7597,86.1469,47.77,35,0,8.21
183,Meulaboh,ID,2021-03-24 22:39:34,4.1363,96.1285,74.79,86,100,3.18
184,Nacozari,MX,2021-03-24 22:39:35,25.3366,-108.2574,77.0,36,56,8.01
185,Amapa,BR,2021-03-24 22:39:35,1.0,-52.0,69.93,99,100,1.63
186,Esperance,AU,2021-03-24 22:39:35,-33.8667,121.9,51.8,93,67,8.05
187,Kaohsiung,TW,2021-03-24 22:39:35,22.6163,120.3133,64.99,94,40,2.3
188,Kirakira,SB,2021-03-24 22:39:36,-10.4544,161.9205,84.29,70,80,5.32
189,Naryan-Mar,RU,2021-03-24 22:39:36,67.6713,53.087,29.43,95,100,13.85
190,Klaksvik,FO,2021-03-24 22:38:21,62.2266,-6.589,41.0,87,20,4.61
191,Tura,IN,2021-03-24 22:35:08,25.5198,90.2201,71.62,25,47,3.56
192,Zhigansk,RU,2021-03-24 22:39:36,66.7697,123.3711,-26.34,100,100,5.28
193,Yulara,AU,2021-03-24 22:39:37,-25.2406,130.9889,68.0,73,1,8.05
194,Westport,US,2021-03-24 22:38:35,41.1415,-73.3579,53.01,87,90,13.8
195,Bay Roberts,CA,2021-03-24 22:39:37,47.5999,-53.2648,37.0,68,65,4.0
196,Kavieng,PG,2021-03-24 22:37:40,-2.5744,150.7967,82.67,73,92,9.53
197,Zhaoyuan,CN,2021-03-24 22:39:37,37.3592,120.3964,43.0,75,0,4.16
198,Panama City,PA,2021-03-24 22:39:37,8.9936,-79.5197,89.6,55,40,3.44
199,Saint-Francois,FR,2021-03-24 22:39:38,46.4154,3.9054,44.01,87,0,2.3
200,Tukums,LV,2021-03-24 22:39:38,56.9669,23.1553,39.2,81,90,9.22
201,Belmonte,BR,2021-03-24 22:39:38,-15.8631,-38.8828,78.8,73,40,9.22
202,Longyearbyen,SJ,2021-03-24 22:37:08,78.2186,15.6401,26.6,74,75,13.8
203,Beringovskiy,RU,2021-03-24 22:39:38,63.05,179.3167,15.87,84,90,2.39
204,Shimoda,JP,2021-03-24 22:39:39,34.6667,138.95,55.0,73,100,1.01
205,Yar-Sale,RU,2021-03-24 22:39:39,66.8333,70.8333,10.6,96,89,10.78
206,Souillac,MU,2021-03-24 22:39:39,-20.5167,57.5167,75.2,94,20,6.91
207,Tondano,ID,2021-03-24 22:39:39,1.3038,124.9112,75.2,94,20,1.14
208,Stornoway,GB,2021-03-24 22:39:40,58.2093,-6.3865,42.01,87,75,13.8
209,Fukue,JP,2021-03-24 22:39:40,32.6881,128.8419,57.51,83,100,2.91
210,Carutapera,BR,2021-03-24 22:39:40,-1.195,-46.02,75.47,93,100,5.77
211,Caravelas,BR,2021-03-24 22:39:40,-17.7125,-39.2481,75.79,81,0,6.11
212,Pisco,PE,2021-03-24 22:39:41,-13.7,-76.2167,73.4,68,0,23.02
213,Pudozh,RU,2021-03-24 22:39:41,61.8099,36.5345,34.75,96,92,11.3
214,Ponta Do Sol,PT,2021-03-24 22:39:41,32.6667,-17.1,57.99,63,100,3.0
215,Koungheul,SN,2021-03-24 22:39:41,13.9833,-14.8,93.42,14,43,9.78
216,Jumla,NP,2021-03-24 22:39:03,29.2747,82.1838,32.86,74,6,6.04
217,Itoman,JP,2021-03-24 22:38:18,26.1247,127.6694,68.0,77,40,13.8
218,Tecalitlan,MX,2021-03-24 22:39:42,19.4667,-103.3,78.8,57,1,13.8
219,Dhing,IN,2021-03-24 22:39:42,26.4667,92.4667,71.2,28,0,1.14
220,Flinders,AU,2021-03-24 22:39:42,-34.5833,150.8552,73.0,67,72,5.99
221,Madras,IN,2021-03-24 22:35:57,13.0878,80.2785,78.8,89,40,3.44
222,Codrington,AU,2021-03-24 22:39:43,-38.2667,141.9667,60.15,78,75,14.23
223,Comodoro Rivadavia,AR,2021-03-24 22:38:58,-45.8667,-67.5,68.0,28,0,9.22
224,Manuk Mangkaw,PH,2021-03-24 22:39:43,4.8,119.85,81.05,75,100,3.96
225,Broome,US,2021-03-24 22:35:02,42.2506,-75.833,54.0,87,90,12.66
226,San Patricio,US,2021-03-24 22:35:12,28.017,-97.5169,84.2,73,75,16.11
227,Saldanha,ZA,2021-03-24 22:34:58,-33.0117,17.9442,73.4,56,3,4.61
228,Olafsvik,IS,2021-03-24 22:39:43,64.8945,-23.7142,31.59,60,95,12.93
229,Marrakesh,MA,2021-03-24 22:37:59,31.6315,-8.0083,62.6,34,0,5.75
230,Katsuura,JP,2021-03-24 22:39:44,35.1333,140.3,60.01,64,100,5.01
231,Yerbogachen,RU,2021-03-24 22:39:44,61.2767,108.0108,-2.6,99,100,3.65
232,Mecca,SA,2021-03-24 22:37:13,21.4267,39.8261,75.67,53,1,5.12
233,Guerrero Negro,MX,2021-03-24 22:39:44,27.9769,-114.0611,63.16,56,0,16.69
234,Muleba,TZ,2021-03-24 22:39:44,-1.8397,31.6544,66.2,88,0,8.63
235,Bathsheba,BB,2021-03-24 22:39:45,13.2167,-59.5167,78.8,61,40,16.11
236,San Luis,AR,2021-03-24 22:39:45,-33.295,-66.3356,67.86,59,52,2.26
237,Jalu,LY,2021-03-24 22:39:45,29.0331,21.5482,51.89,50,1,9.37
238,Paramonga,PE,2021-03-24 22:39:45,-10.6667,-77.8333,72.5,78,51,9.15
239,Vao,NC,2021-03-24 22:39:46,-22.6667,167.4833,76.19,68,87,15.46
240,Sao Gabriel Da Cachoeira,BR,2021-03-24 22:39:46,-0.1303,-67.0892,75.92,87,97,2.37
241,Aklavik,CA,2021-03-24 22:39:46,68.2191,-135.0107,14.0,52,100,3.44
242,Hervey Bay,AU,2021-03-24 22:39:46,-25.2986,152.8535,77.0,61,0,5.75
243,Yakima,US,2021-03-24 22:36:02,46.4665,-120.6678,54.0,43,90,14.97
244,Chernogorsk,RU,2021-03-24 22:39:47,53.8236,91.2842,30.2,51,0,15.66
245,Pionerskiy,RU,2021-03-24 22:39:47,54.9508,20.2275,41.0,87,90,8.95
