City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Port Alfred,ZA,-33.5906,26.891,66.29,71,100,18.79,overcast clouds
81,Totma,RU,59.9747,42.7642,21.92,99,91,4.16,overcast clouds
82,Lorengau,PG,-2.0226,147.2712,81.88,76,100,7.58,overcast clouds
83,Yakeshi,CN,49.2833,120.7333,31.64,92,100,13.96,light snow
84,Kushiro,JP,42.975,144.3747,40.73,98,100,11.59,overcast clouds
85,Puerto Ayora,EC,-0.7393,-90.3518,82.4,78,40,13.8,scattered clouds
86,Ahipara,NZ,-35.1667,173.1667,66.15,93,63,7.07,moderate rain
87,Colares,PT,38.7992,-9.4469,71.6,40,0,6.91,clear sky
88,Kassiopi,GR,39.7886,19.9186,57.2,72,20,2.46,few clouds
89,Bredasdorp,ZA,-34.5322,20.0403,62.6,82,100,13.8,overcast clouds
90,Qaanaaq,GL,77.484,-69.3632,-15.2,80,75,2.82,broken clouds
91,Pankrushikha,RU,53.8319,80.3406,31.86,99,100,4.14,snow
92,Salalah,OM,17.0151,54.0924,80.6,74,0,2.3,clear sky
93,Bluff,NZ,-46.6,168.3333,51.01,98,100,5.68,overcast clouds
94,Barrow,US,71.2906,-156.7887,-25.6,75,20,10.36,few clouds
95,Mahebourg,MU,-20.4081,57.7,78.8,83,40,2.3,scattered clouds
96,Hilo,US,19.7297,-155.09,66.2,94,90,8.05,light rain
97,Namatanai,PG,-3.6667,152.4333,78.76,80,81,8.01,light rain
98,Santa Marinella,IT,42.0345,11.8536,57.2,82,0,5.75,clear sky
99,Bandarbeyla,SO,9.4942,50.8122,79.03,72,10,6.91,clear sky
100,Yellowknife,CA,62.456,-114.3525,23.0,53,75,14.97,broken clouds
101,Khash,IR,28.2211,61.2158,70.97,20,63,2.66,broken clouds
102,Tuatapere,NZ,-46.1333,167.6833,51.01,98,91,2.53,light rain
103,Belyy Yar,RU,53.6039,91.3903,32.0,86,100,2.24,smoke
104,Santa Cruz,BO,-17.8,-63.1667,78.8,57,40,12.66,scattered clouds
105,Salisbury,GB,51.0693,-1.7957,51.01,81,90,18.41,overcast clouds
106,Kruisfontein,ZA,-34.0033,24.7314,64.0,73,100,5.99,overcast clouds
